"YTS ID","IMDb ID","Movie Title","Year","Language","Rating","Quality","YTS URL","IMDb URL","Torrent URL"
"66351","tt21227864","You're Cordially Invited","2025","en","0","2160p","https://yts.mx/movies/youre-cordially-invited-2025","https://www.imdb.com/title/tt21227864","https://yts.mx/torrent/download/74081E65FB6B09FFBA6059E9E15036099727C8FD"
"66331","tt32832547","Tom Green: I Got A Mule!","2025","en","0","2160p","https://yts.mx/movies/tom-green-i-got-a-mule-2025","https://www.imdb.com/title/tt32832547","https://yts.mx/torrent/download/F935EEA0F3078BCCD42C199644564965ABCB7AB5"
"66328","tt8008948","Den of Thieves 2: Pantera","2025","en","6.5","2160p","https://yts.mx/movies/den-of-thieves-2-pantera-2025","https://www.imdb.com/title/tt8008948","https://yts.mx/torrent/download/781288A5AD8C97B8D10F9BB2B52018005126A38E"
"66258","tt32373672","L'heureuse élue","2024","fr","6.2","2160p","https://yts.mx/movies/lheureuse-elue-2024","https://www.imdb.com/title/tt32373672","https://yts.mx/torrent/download/FC504A2EAB61045D5B5A4B93500F78365C658621"
"66253","tt10236164","The Girl with the Needle","2024","da","7.5","2160p","https://yts.mx/movies/the-girl-with-the-needle-2024","https://www.imdb.com/title/tt10236164","https://yts.mx/torrent/download/DBE26DFED9F08EE11748D07476CA3DAB659013FF"
"66245","tt32832554","This Is the Tom Green Documentary","2025","en","0","2160p","https://yts.mx/movies/this-is-the-tom-green-documentary-2025","https://www.imdb.com/title/tt32832554","https://yts.mx/torrent/download/32A3E64C7982632924566AD10E61D86139245082"
"66244","tt34673562","Carrie Underwood: Reflection","2025","en","0","2160p","https://yts.mx/movies/carrie-underwood-reflection-2025","https://www.imdb.com/title/tt34673562","https://yts.mx/torrent/download/DED410CB926E411B51E7646803CEB96B1BCD320E"
"66242","tt9603060","Star Trek: Section 31","2025","en","4","2160p","https://yts.mx/movies/star-trek-section-31-2025","https://www.imdb.com/title/tt9603060","https://yts.mx/torrent/download/3F17DA8A2808DB6FDD6620DB531DDFD052920004"
"66195","tt14298896","Operation White Christmas","2023","de","6.8","2160p","https://yts.mx/movies/operation-white-christmas-2023","https://www.imdb.com/title/tt14298896","https://yts.mx/torrent/download/82406C433805509D8A1F209CBA96CD9AA2FB33B5"
"66191","tt34910018","Sniper: The Last Stand","2025","en","4.4","2160p","https://yts.mx/movies/sniper-the-last-stand-2025","https://www.imdb.com/title/tt34910018","https://yts.mx/torrent/download/5E4E0B36096CD6192D4D8BA5A768D48021497F4B"
